Truck ID,Component Description,Category Group,Installation Date,Age (Days),Current Health (%),Projected 50% Date
30012513,Bocina acteck ap480,CLUSTER_22,2025-08-14,300,64.6,2029-07-24
30006168,Servicio a domocilio,CLUSTER_22,2025-08-22,292,64.5,2028-11-29
30006168,Traslados de llantas de jarudo Samalayuc,CLUSTER_22,2025-08-22,292,64.5,2028-11-29
30006168,Vulvanizado,CLUSTER_22,2025-08-22,292,64.5,2028-11-29
30006609,Servicio de Reemplazo,CLUSTER_22,2025-08-21,293,64.5,2028-11-28
30009626,CAJA D/CONTROL MTM 280-153880-B,CLUSTER_13,2026-01-03,158,64.5,2027-02-12
30013054,ACEITE SINOTRUK RLCM 10W40,CLUSTER_7,2026-02-19,111,64.5,2026-09-22
30011601,Vulcanizadas,CLUSTER_22,2025-09-18,265,64.4,2029-12-16
30012603,Vulcanizadas,CLUSTER_22,2025-09-18,265,64.4,2029-12-16
30012192,Bocina acteck ap480,CLUSTER_22,2025-08-14,300,64.3,2028-11-21
30013022,GRASA XTREME MOBIL DELVAC CARTUCHO,CLUSTER_16,2026-02-11,119,64.3,2027-04-17
30009798,BASE P/RELEVADOR 5 PATAS AUTOMOTRIZ,CLUSTER_9,2026-02-06,124,64.2,2027-03-23
30010153,CODO P/TUBERIA 90º 1PUL GALVANIZADO,CLUSTER_9,2026-02-06,124,64.2,2027-03-23
30010145,GRASA XTREME MOBIL DELVAC CARTUCHO,CLUSTER_16,2025-06-20,355,64.1,2030-04-25
30011791,ACEITE 15W40 CATERPILLAR 3E-9901,CLUSTER_9,2025-09-25,258,64.1,2030-01-02
30012224,ACEITE SINOTRUK RLCM 10W40,CLUSTER_7,2026-02-03,127,64.1,2026-12-30
30012243,ACEITE SINOTRUK RLCM 10W40,CLUSTER_7,2026-02-03,127,64.1,2026-12-30
30013409,ACEITE SINOTRUK RLCM 10W40,CLUSTER_7,2026-02-03,127,64.1,2026-12-30
30013413,ACEITE SINOTRUK RLCM 10W40,CLUSTER_7,2026-02-03,127,64.1,2026-12-30
30006605,RESPIRADOR 3M 8515 N95 P/SOLDAR C/VALV,CLUSTER_15,2026-01-06,155,63.9,2027-07-30
30010157,MANGUERA AIRE 3/4 ADAPT FLEX 200PSI,CLUSTER_9,2026-02-06,124,63.9,2027-01-22
30009630,CANALON SECUNDARIO 440.150600,CLUSTER_13,2025-12-26,166,63.8,2027-02-04
30009630,LLANTA RENOVADA 295/75R22.5TRA,CLUSTER_0,2026-01-31,130,63.8,2029-01-05
30012489,CINCHO PLASTICO,CLUSTER_8,2025-10-17,236,63.8,2030-08-22
30012512,GAUGE P/PRECION D/AIRE,CLUSTER_9,2025-09-05,278,63.8,2029-12-13
30010147,REPARACION DE LUCES TRASERAS,CLUSTER_14,2026-02-10,120,63.7,2027-04-11
30010157,MANOMETRO 1-100PSI 260.82406,CLUSTER_13,2026-02-06,124,63.7,2026-10-29
30013022,ACEITE SINOTRUK RLCM 10W40,CLUSTER_7,2026-02-11,119,63.7,2026-09-14
30009418,HORQUILLA DOBLE P/ROTACAMARA ZBRAS3000,CLUSTER_14,2026-01-08,153,63.6,2027-10-10
30009629,TAPIZADO DE ASIENTO,CLUSTER_19,2026-01-29,132,63.6,2027-05-09
30011601,Servicio de soldadura,CLUSTER_22,2025-08-21,293,63.6,2029-11-18
30006171,ACEITE,CLUSTER_0,2026-01-15,146,63.5,2029-04-09
30006598,AJUSTE DE CLUTCH,CLUSTER_23,2026-01-27,134,63.5,2027-09-29
30006614,ACEITE,CLUSTER_0,2026-01-15,146,63.5,2029-04-09
30011667,"GOLDENISO/28 XTRAFLEX-16 (1"") DN 25 REM",CLUSTER_16,2026-02-12,118,63.5,2026-10-25
30012225,[SQZW860504510003] Filtro hidraulico par,CLUSTER_16,2026-02-14,116,63.5,2026-10-27
30012243,[SQZW860504510003] Filtro hidraulico par,CLUSTER_16,2026-02-14,116,63.5,2026-10-27
30012244,[SQZW860504510003] Filtro hidraulico par,CLUSTER_16,2026-02-14,116,63.5,2026-10-27
30012330,[SQZW860504510003] Filtro hidraulico par,CLUSTER_16,2026-02-14,116,63.5,2026-10-27
30012331,[SQZW860504510003] Filtro hidraulico par,CLUSTER_16,2026-02-14,116,63.5,2026-10-27
30012859,COLLARIN	,CLUSTER_16,2026-02-13,117,63.5,2026-10-26
30013412,ESPIGA P/ CONEX PERM 1/4 - HEMBRA 1/4 JI,CLUSTER_16,2026-02-12,118,63.5,2026-10-25
30005348,RESPIRADOR DESECH 8210N95RESP056/3M8210,CLUSTER_15,2025-12-03,189,63.4,2027-09-04
30009627,LLANTA RENOVADA 295/75R22.5TRA,CLUSTER_0,2026-01-07,154,63.3,2029-04-01
